#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    lam_Fr wrms    lam_Fr wrms err    lam_Fr tdisp    lam_Fr tdisp err    lam_Fr mdisp    lam_Fr mdisp err    lam_Fr eta (local)    lam_Fr eta (local) err    lam_Fr eta (global)    lam_Fr eta (global) err    turb_Fr wrms    turb_Fr wrms err    turb_Fr tdisp    turb_Fr tdisp err    turb_Fr mdisp    turb_Fr mdisp err    turb_Fr eta (local)    turb_Fr eta (local) err    turb_Fr eta (global)    turb_Fr eta (global) err    lam_Fr_vortz wrms    lam_Fr_vortz wrms err    lam_Fr_vortz tdisp    lam_Fr_vortz tdisp err    lam_Fr_vortz mdisp    lam_Fr_vortz mdisp err    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (local) err    lam_Fr_vortz eta (global)    lam_Fr_vortz eta (global) err    turb_Fr_vortz wrms    turb_Fr_vortz wrms    turb_Fr_vortz tdisp    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz mdisp err    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (local) err    turb_Fr_vortz eta (global)    turb_Fr_vortz eta (global) err    vlam avg    vlam err    vturb avg    vturb err    vlam_Fr avg    vlam_Fr err    vturb_Fr avg    vturb_Fr err    vlam_Fr_vortz avg    vlam_Fr_vortz err    vturb_Fr_vortz avg    vturb_Fr_vortz err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght    turb wrms eff wght    turb wrms eff wght    
# Index 000: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5000e+02    3.0000e+02    2.1976e+00    1.3816e-01    4.6082e+00    1.0901e+00    2.6357e-01    5.5111e-02    1.3787e-01    3.9128e-02    2.6778e+02    4.8990e+01    4.4602e-01    2.4059e-02    3.3469e-01    3.2653e-02    2.2841e-01    4.0523e-02    1.0755e-01    2.5108e-02    1.8188e+02    1.6126e+01    4.6173e-01    2.7676e-02    3.6691e-01    4.1550e-02    3.4322e-01    7.5782e-02    2.2148e-01    6.4523e-02    5.0983e+02    8.6928e+01    3.9676e-01    2.6864e-02    2.9736e-01    3.4970e-02    2.2404e-01    3.9679e-02    1.0178e-01    2.3486e-02    1.7144e+02    2.3486e-02    4.6363e-01    2.7474e-02    3.6797e-01    4.1051e-02    3.1133e-01    6.7430e-02    1.8866e-01    5.3941e-02    4.0589e+02    7.2701e+01    4.1875e-01    2.6778e-02    3.1221e-01    3.4594e-02    2.3446e-01    4.2292e-02    1.1363e-01    2.7031e-02    1.9615e+02    1.8268e+01    4.5741e-01    2.6795e-02    3.6193e-01    4.0763e-02    3.9277e-01    8.8696e-02    2.7663e-01    8.2447e-02    6.8958e+02    1.1514e+02    3.6786e-01    2.6483e-02    2.8053e-01    3.5156e-02    7.4600e-01    5.7931e-02    2.5400e-01    5.7931e-02    5.9833e-01    6.7400e-02    4.0167e-01    6.7400e-02    8.5953e-01    4.4822e-02    1.4047e-01    4.4822e-02    2.2176e-01    3.9180e-02    5.2303e-01    1.4871e-01    1.0068e-01    1.5453e-02    2.3758e-01    6.6240e-02    
# Index 001: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e-01    1.0000e-01    6.0002e+01    6.0002e+00    2.7500e+02    4.0000e+02    2.1900e+00    1.7327e-01    1.0458e+01    1.8334e+00    9.5484e-01    1.1634e-01    2.3113e+01    5.9444e+00    3.4571e+02    1.1739e+02    1.8037e-01    2.0321e-02    6.5226e-02    1.1992e-02    8.8760e-01    1.2457e-01    2.3055e+01    6.4488e+00    1.6295e+02    6.0580e+01    2.4595e-01    2.5159e-02    1.2894e-01    2.1788e-02    9.6080e-01    1.1472e-01    2.3131e+01    5.8993e+00    3.6069e+02    1.1879e+02    1.7331e-01    1.8686e-02    6.2514e-02    1.1301e-02    8.8713e-01    1.2476e-01    2.3073e+01    6.4607e+00    1.6264e+02    6.4607e+00    2.4655e-01    2.5385e-02    1.2929e-01    2.1913e-02    9.5880e-01    1.1523e-01    2.3123e+01    5.9151e+00    3.5560e+02    1.1815e+02    1.7568e-01    1.9168e-02    6.3391e-02    1.1488e-02    8.8850e-01    1.2421e-01    2.3021e+01    6.4360e+00    1.6361e+02    6.0558e+01    2.4472e-01    2.4745e-02    1.2823e-01    2.1588e-02    9.6386e-01    1.1400e-01    2.3145e+01    5.8738e+00    3.6863e+02    1.1993e+02    1.6971e-01    1.8073e-02    6.1219e-02    1.1059e-02    8.0327e-02    1.8458e-02    9.1967e-01    1.8458e-02    5.4714e-02    1.2881e-02    9.4529e-01    1.2881e-02    1.1754e-01    2.6681e-02    8.8246e-01    2.6681e-02    8.8653e-01    1.2443e-01    1.1135e+00    1.1371e-01    4.0594e-01    5.6508e-02    5.0963e-01    4.9057e-02    
# Index 002: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e+00    1.0000e-01    6.0002e+01    6.0002e+01    1.8000e+02    3.2000e+02    2.1370e+00    1.7538e-01    9.4417e+00    1.6004e+00    8.5702e-01    8.2480e-02    1.0753e+01    2.4391e+00    2.8691e+02    9.4939e+01    3.9319e-01    2.8429e-02    2.7882e-01    3.6112e-02    7.8955e-01    8.6726e-02    1.0533e+01    2.6794e+00    1.3503e+02    4.7046e+01    4.8277e-01    2.9770e-02    4.4452e-01    4.4692e-02    8.6909e-01    8.0434e-02    1.0807e+01    2.3867e+00    3.1279e+02    9.7371e+01    3.7470e-01    2.5386e-02    2.6183e-01    3.3064e-02    7.8833e-01    8.7154e-02    1.0549e+01    2.6892e+00    1.3421e+02    2.6892e+00    4.8452e-01    3.0232e-02    4.4657e-01    4.5161e-02    8.6515e-01    8.0965e-02    1.0787e+01    2.4033e+00    3.0397e+02    9.6039e+01    3.8082e-01    2.6174e-02    2.6724e-01    3.3825e-02    7.9171e-01    8.6095e-02    1.0507e+01    2.6584e+00    1.3663e+02    4.7175e+01    4.7954e-01    2.9181e-02    4.4080e-01    4.4086e-02    8.7498e-01    7.9825e-02    1.0841e+01    2.3639e+00    3.2664e+02    9.9990e+01    3.6552e-01    2.4510e-02    2.5396e-01    3.2161e-02    1.5255e-01    3.0532e-02    8.4745e-01    3.0532e-02    1.0633e-01    2.3912e-02    8.9367e-01    2.3912e-02    2.1687e-01    3.7900e-02    7.8313e-01    3.7900e-02    7.8647e-01    8.6100e-02    1.0205e+00    8.4249e-02    3.6897e-01    3.7979e-02    4.7925e-01    4.1626e-02    
# Index 003: Re = 602.41, Pe =  60.24
6.0241e+02    1.0000e+01    1.0000e-01    6.0241e+01    6.0241e+02    2.2000e+02    4.5000e+02    2.2662e+00    2.2844e-01    8.1189e+00    1.2471e+00    6.2209e-01    7.0037e-02    1.8437e+00    3.3948e-01    2.4541e+02    6.5194e+01    5.1715e-01    1.9284e-02    4.3388e-01    2.8588e-02    5.7159e-01    6.3540e-02    1.6816e+00    3.2804e-01    1.1791e+02    2.8588e+01    6.0076e-01    1.5209e-02    5.9039e-01    2.1714e-02    6.4116e-01    7.0448e-02    1.9109e+00    3.3662e-01    2.9478e+02    7.0734e+01    4.7936e-01    1.4708e-02    3.9676e-01    2.4458e-02    5.6983e-01    6.3677e-02    1.6811e+00    3.3173e-01    1.1577e+02    3.3173e-01    6.0479e-01    1.5870e-02    5.9493e-01    2.2311e-02    6.3425e-01    6.9938e-02    1.8856e+00    3.3575e-01    2.7603e+02    6.7480e+01    4.9304e-01    1.5417e-02    4.0956e-01    2.4936e-02    5.7483e-01    6.3628e-02    1.6829e+00    3.2236e-01    1.2223e+02    2.9114e+01    5.9317e-01    1.4866e-02    5.8175e-01    2.1454e-02    6.5218e-01    7.1620e-02    1.9550e+00    3.4135e-01    3.2683e+02    7.7777e+01    4.5810e-01    1.4864e-02    3.7768e-01    2.4571e-02    2.8727e-01    4.3075e-02    7.1273e-01    4.3075e-02    1.9867e-01    3.9462e-02    8.0133e-01    3.9462e-02    4.0530e-01    4.3709e-02    5.9470e-01    4.3709e-02    5.6874e-01    6.3655e-02    7.7750e-01    9.4460e-02    2.5200e-01    2.5631e-02    3.4418e-01    3.6301e-02    
# Index 004: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5000e+02    3.0000e+02    2.1976e+00    1.3816e-01    4.6082e+00    1.0901e+00    2.6357e-01    5.5111e-02    1.3787e-01    3.9128e-02    2.6778e+02    4.8990e+01    4.4602e-01    2.4059e-02    3.3469e-01    3.2653e-02    2.2841e-01    4.0523e-02    1.0755e-01    2.5108e-02    1.8188e+02    1.6126e+01    4.6173e-01    2.7676e-02    3.6691e-01    4.1550e-02    3.4322e-01    7.5782e-02    2.2148e-01    6.4523e-02    5.0983e+02    8.6928e+01    3.9676e-01    2.6864e-02    2.9736e-01    3.4970e-02    2.2404e-01    3.9679e-02    1.0178e-01    2.3486e-02    1.7144e+02    2.3486e-02    4.6363e-01    2.7474e-02    3.6797e-01    4.1051e-02    3.1133e-01    6.7430e-02    1.8866e-01    5.3941e-02    4.0589e+02    7.2701e+01    4.1875e-01    2.6778e-02    3.1221e-01    3.4594e-02    2.3446e-01    4.2292e-02    1.1363e-01    2.7031e-02    1.9615e+02    1.8268e+01    4.5741e-01    2.6795e-02    3.6193e-01    4.0763e-02    3.9277e-01    8.8696e-02    2.7663e-01    8.2447e-02    6.8958e+02    1.1514e+02    3.6786e-01    2.6483e-02    2.8053e-01    3.5156e-02    7.4600e-01    5.7931e-02    2.5400e-01    5.7931e-02    5.9833e-01    6.7400e-02    4.0167e-01    6.7400e-02    8.5953e-01    4.4822e-02    1.4047e-01    4.4822e-02    2.2176e-01    3.9180e-02    5.2303e-01    1.4871e-01    1.0068e-01    1.5453e-02    2.3758e-01    6.6240e-02    
# Index 005: Re = 600.02, Pe =  60.00
