#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    lam_Fr wrms    lam_Fr wrms err    lam_Fr tdisp    lam_Fr tdisp err    lam_Fr mdisp    lam_Fr mdisp err    lam_Fr eta (local)    lam_Fr eta (local) err    lam_Fr eta (global)    lam_Fr eta (global) err    turb_Fr wrms    turb_Fr wrms err    turb_Fr tdisp    turb_Fr tdisp err    turb_Fr mdisp    turb_Fr mdisp err    turb_Fr eta (local)    turb_Fr eta (local) err    turb_Fr eta (global)    turb_Fr eta (global) err    lam_Fr_vortz wrms    lam_Fr_vortz wrms err    lam_Fr_vortz tdisp    lam_Fr_vortz tdisp err    lam_Fr_vortz mdisp    lam_Fr_vortz mdisp err    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (local) err    lam_Fr_vortz eta (global)    lam_Fr_vortz eta (global) err    turb_Fr_vortz wrms    turb_Fr_vortz wrms    turb_Fr_vortz tdisp    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz mdisp err    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (local) err    turb_Fr_vortz eta (global)    turb_Fr_vortz eta (global) err    vlam avg    vlam err    vturb avg    vturb err    vlam_Fr avg    vlam_Fr err    vturb_Fr avg    vturb_Fr err    vlam_Fr_vortz avg    vlam_Fr_vortz err    vturb_Fr_vortz avg    vturb_Fr_vortz err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght    turb wrms eff wght    turb wrms eff wght    
# Index 000: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.0000e+01    8.0000e+01    1.8549e+00    1.2348e-01    2.0932e+00    1.5546e-01    8.0480e-02    1.2329e-02    2.7505e-02    4.6032e-03    1.8458e+02    3.4347e+01    4.5544e-01    2.0900e-02    3.1066e-01    3.2458e-02    7.8922e-02    1.1069e-02    2.6465e-02    4.2041e-03    1.7979e+02    3.2397e+01    4.5514e-01    2.1369e-02    3.0812e-01    3.3123e-02    1.0645e-01    3.3414e-02    4.8990e-02    1.0295e-02    2.7910e+02    7.6823e+01    4.6370e-01    1.6984e-02    3.4932e-01    3.3352e-02    7.8040e-02    1.0663e-02    2.5366e-02    4.0028e-03    1.7700e+02    4.0028e-03    4.5356e-01    2.2086e-02    3.0255e-01    3.3969e-02    9.4691e-02    2.1521e-02    4.1993e-02    6.8440e-03    2.3371e+02    5.2860e+01    4.6938e-01    1.2848e-02    3.5348e-01    2.6458e-02    7.9617e-02    1.1520e-02    2.7078e-02    4.3942e-03    1.8208e+02    3.3129e+01    4.5557e-01    2.1095e-02    3.1024e-01    3.2916e-02    1.2937e-01    5.9450e-02    6.2826e-02    1.9647e-02    3.7489e+02    1.3741e+02    4.4872e-01    3.2012e-02    3.4138e-01    5.3823e-02    9.5423e-01    1.3064e-02    4.5767e-02    1.3064e-02    8.7274e-01    2.7278e-02    1.2726e-01    2.7278e-02    9.8773e-01    4.7851e-03    1.2274e-02    4.7851e-03    7.6197e-02    1.0628e-02    1.0325e-01    3.5396e-02    4.0974e-02    3.9741e-03    5.5109e-02    1.6383e-02    
# Index 001: Re = 600.00, Pe =  60.00
6.0000e+02    1.8000e+02    1.0000e-01    6.0000e+01    1.0800e+04    4.0000e+01    9.0000e+01    1.8585e+00    1.6671e-01    2.3559e+00    4.8054e-01    1.3919e-01    3.7810e-02    5.2882e-02    1.7686e-02    1.9016e+02    5.0563e+01    4.5924e-01    2.0423e-02    3.3086e-01    3.4822e-02    1.3043e-01    2.9241e-02    4.8220e-02    1.3002e-02    1.7396e+02    3.6328e+01    4.6055e-01    2.0405e-02    3.3076e-01    3.4651e-02    2.0165e-01    7.3611e-02    9.6067e-02    4.1769e-02    3.4274e+02    1.2615e+02    4.4563e-01    2.3768e-02    3.3311e-01    3.7923e-02    1.2831e-01    2.7623e-02    4.6353e-02    1.2238e-02    1.6911e+02    1.2238e-02    4.6046e-01    2.0381e-02    3.2820e-01    3.4593e-02    1.7401e-01    5.6841e-02    7.8486e-02    2.8689e-02    2.7300e+02    8.7171e+01    4.5440e-01    2.2009e-02    3.3979e-01    3.5592e-02    1.3295e-01    3.1455e-02    4.9872e-02    1.4179e-02    1.7906e+02    3.9791e+01    4.6020e-01    2.0478e-02    3.3171e-01    3.4874e-02    2.4706e-01    9.9023e-02    1.2699e-01    6.3251e-02    4.7204e+02    1.9149e+02    4.3047e-01    2.7254e-02    3.2188e-01    4.2276e-02    9.1528e-01    2.4890e-02    8.4722e-02    2.4890e-02    8.1614e-01    4.4897e-02    1.8386e-01    4.4897e-02    9.6773e-01    1.2830e-02    3.2270e-02    1.2830e-02    1.2523e-01    2.6333e-02    2.4458e-01    1.2702e-01    6.6790e-02    8.1773e-03    1.2786e-01    5.3705e-02    
# Index 002: Re = 600.00, Pe =  60.00
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.5000e+01    1.6000e+02    2.2046e+00    6.7250e-02    2.3929e+00    3.0466e-01    1.8994e-01    2.2808e-02    8.2032e-02    1.7524e-02    1.4582e+02    1.8444e+01    4.6493e-01    1.6539e-02    3.5703e-01    2.8786e-02    1.8026e-01    1.9112e-02    7.4412e-02    1.4256e-02    1.2867e+02    1.2393e+01    4.6934e-01    1.7165e-02    3.6369e-01    3.0344e-02    2.4272e-01    3.2882e-02    1.3041e-01    2.8434e-02    2.5623e+02    3.5224e+01    4.3504e-01    2.0076e-02    3.3491e-01    3.0471e-02    1.7812e-01    1.8858e-02    7.1081e-02    1.3623e-02    1.2378e+02    1.3623e-02    4.7063e-01    1.7247e-02    3.6200e-01    3.0702e-02    2.1529e-01    2.7489e-02    1.0795e-01    2.2685e-02    1.9819e+02    2.7232e+01    4.5097e-01    1.8059e-02    3.5030e-01    2.8532e-02    1.8344e-01    1.9936e-02    7.7476e-02    1.5200e-02    1.3473e+02    1.3923e+01    4.6736e-01    1.7063e-02    3.6232e-01    3.0092e-02    2.9554e-01    4.3821e-02    1.7717e-01    4.1098e-02    3.8386e+02    4.7242e+01    4.0808e-01    2.1009e-02    3.1284e-01    3.4416e-02    8.6940e-01    3.0141e-02    1.3060e-01    3.0141e-02    7.0999e-01    4.2029e-02    2.9001e-01    4.2029e-02    9.5690e-01    1.5349e-02    4.3099e-02    1.5349e-02    1.7663e-01    1.9210e-02    2.9158e-01    6.2398e-02    8.0011e-02    7.2968e-03    1.3196e-01    2.6527e-02    
# Index 003: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+01    1.0000e-01    6.0000e+01    1.8000e+03    3.5000e+01    8.0000e+01    1.7157e+00    6.7789e-02    3.9575e+00    4.7203e-01    3.5172e-01    3.8292e-02    3.9206e-01    6.6635e-02    1.0762e+02    1.5863e+01    5.6998e-01    9.9278e-03    5.2104e-01    1.5961e-02    3.2537e-01    3.2360e-02    3.5127e-01    5.4992e-02    7.2313e+01    7.2013e+00    6.0459e-01    1.2467e-02    5.9084e-01    2.1147e-02    3.8567e-01    4.2446e-02    4.4875e-01    7.8802e-02    1.5710e+02    2.2347e+01    5.1639e-01    1.1737e-02    4.5996e-01    1.7244e-02    3.2362e-01    3.2069e-02    3.4946e-01    5.4670e-02    7.0472e+01    5.4670e-02    6.0876e-01    1.2477e-02    5.9580e-01    2.1173e-02    3.7544e-01    4.1289e-02    4.3056e-01    7.4909e-02    1.4132e+02    2.0490e+01    5.3157e-01    1.1519e-02    4.7617e-01    1.6973e-02    3.2796e-01    3.2839e-02    3.5405e-01    5.5566e-02    7.5060e+01    7.5102e+00    5.9900e-01    1.2435e-02    5.8373e-01    2.1201e-02    4.0049e-01    4.4047e-02    4.7723e-01    8.4519e-02    1.8148e+02    2.5277e+01    4.9612e-01    1.1495e-02    4.3936e-01    1.7240e-02    5.8915e-01    3.9366e-02    4.1085e-01    3.9366e-02    4.8096e-01    4.0206e-02    5.1904e-01    4.0206e-02    6.9913e-01    3.6578e-02    3.0087e-01    3.6578e-02    3.2096e-01    3.1958e-02    4.8335e-01    6.7757e-02    1.8700e-01    1.6587e-02    2.8178e-01    3.9049e-02    
# Index 004: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+00    1.0000e-01    6.0000e+01    1.8000e+02    5.5000e+01    1.1000e+02    1.8747e+00    1.7799e-01    7.0216e+00    1.0152e+00    6.0159e-01    6.3706e-02    3.5792e+00    5.9000e-01    1.6645e+02    4.7956e+01    4.8339e-01    1.4640e-02    3.9807e-01    2.8956e-02    5.4214e-01    5.2239e-02    3.5238e+00    5.2555e-01    8.1579e+01    1.7341e+01    5.7035e-01    1.2555e-02    5.6674e-01    2.2547e-02    6.1927e-01    6.5751e-02    3.5951e+00    6.1192e-01    1.9293e+02    5.4554e+01    4.5192e-01    1.2702e-02    3.6382e-01    2.5723e-02    5.4106e-01    5.2082e-02    3.5411e+00    5.2632e-01    8.0804e+01    5.2632e-01    5.7299e-01    1.2619e-02    5.7026e-01    2.2667e-02    6.1402e-01    6.4800e-02    3.5864e+00    6.0455e-01    1.8478e+02    5.2056e+01    4.6119e-01    1.3112e-02    3.7330e-01    2.6123e-02    5.4401e-01    5.2603e-02    3.4997e+00    5.2512e-01    8.2940e+01    1.7752e+01    5.6591e-01    1.2476e-02    5.6104e-01    2.2453e-02    6.2693e-01    6.7365e-02    3.6143e+00    6.2319e-01    2.0531e+02    5.8706e+01    4.3864e-01    1.2574e-02    3.5087e-01    2.5661e-02    2.4343e-01    2.0748e-02    7.5657e-01    2.0748e-02    1.8176e-01    1.9862e-02    8.1824e-01    1.9862e-02    3.2260e-01    2.5899e-02    6.7740e-01    2.5899e-02    5.3902e-01    5.1251e-02    7.9440e-01    1.3570e-01    2.8888e-01    2.7669e-02    4.2446e-01    6.0863e-02    
# Index 005: Re = 600.00, Pe =  60.00
