#Re    B    Pr    Pe    BPe    t    uh_rms    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    vortz_rms    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.8141e+00    1.5012e+00    2.0954e+00    5.6009e-07    2.4416e-14    4.3906e+00    2.0272e-10    1.6683e-11    5.6115e-07    2.4575e-14    3.8204e+00    2.0796e-10    1.9298e-11    5.3943e-07    2.1395e-14    1.5264e+01    6.1860e-12    4.2050e-12    5.6021e-07    2.4719e-14    3.4821e+00    2.1406e-10    2.1297e-11    5.5897e-07    2.1789e-14    1.2276e+01    8.7060e-12    5.3247e-12    5.6088e-07    2.4432e-14    4.1270e+00    2.0435e-10    1.7760e-11    5.0886e-07    2.3479e-14    2.0663e+01    4.7047e-12    3.4088e-12    9.5017e-01    4.9832e-02    8.9668e-01    1.0332e-01    9.8406e-01    1.5944e-02    5.7010e-07    5.5185e-07    3.7977e-07    3.6762e-07    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    7.9932e+00    2.3717e+00    3.1678e+00    2.0070e-07    2.6959e-14    1.0035e+01    3.8933e-10    8.0594e-12    1.9841e-07    2.5982e-14    6.7844e+00    4.3646e-10    1.1489e-11    2.0936e-07    3.0760e-14    2.2684e+01    1.0784e-11    4.0681e-12    1.9699e-07    2.5109e-14    5.3096e+00    5.0419e-10    1.4187e-11    2.0604e-07    2.9687e-14    1.7004e+01    1.4521e-11    5.2376e-12    2.0109e-07    2.6730e-14    9.0817e+00    3.9616e-10    8.8300e-12    1.8915e-07    3.3411e-14    3.6983e+01    6.0394e-12    2.7103e-12    7.9556e-01    2.0444e-01    5.9596e-01    4.0404e-01    9.6584e-01    3.4158e-02    1.9409e-07    2.0340e-07    8.1836e-08    8.5760e-08    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.0297e+01    2.9056e+00    3.7294e+00    3.7321e-07    2.7405e-13    1.3909e+01    1.5751e-09    5.9110e-11    3.6201e-07    2.7361e-13    8.5366e+00    1.8273e-09    9.6156e-11    4.0370e-07    2.7529e-13    2.9371e+01    1.0381e-10    2.8119e-11    3.6350e-07    2.7461e-13    6.9327e+00    2.1968e-09    1.1883e-10    3.8312e-07    2.7346e-13    2.1218e+01    1.5220e-10    3.8664e-11    3.7093e-07    2.7560e-13    1.1814e+01    1.6220e-09    6.9984e-11    4.0907e-07    2.4840e-13    4.8505e+01    4.0991e-11    1.5364e-11    7.4216e-01    2.5784e-01    5.1170e-01    4.8830e-01    9.4292e-01    5.7078e-02    4.1667e-07    3.9578e-07    1.4340e-07    1.3621e-07    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.2232e+01    3.0563e+00    3.8306e+00    1.6338e-06    4.2295e-12    1.4673e+01    1.4571e-08    8.6475e-10    1.6195e-06    4.3613e-12    9.4653e+00    1.6919e-08    1.3823e-09    1.6736e-06    3.8560e-12    2.9438e+01    1.6345e-09    3.9297e-10    1.6161e-06    4.5877e-12    8.0129e+00    2.0730e-08    1.7176e-09    1.6502e-06    3.8937e-12    2.0919e+01    2.9066e-09    5.5840e-10    1.6188e-06    4.1947e-12    1.2333e+01    1.5002e-08    1.0204e-09    1.8655e-06    4.8074e-12    5.3533e+01    7.5640e-10    2.6941e-10    7.3924e-01    2.6076e-01    4.8391e-01    5.1609e-01    9.4318e-01    5.6815e-02    1.4904e-06    1.6919e-06    4.8765e-07    5.5358e-07    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.4074e+01    3.4278e+00    3.8217e+00    1.6216e-05    1.0511e-09    1.4605e+01    2.3237e-06    2.1591e-07    1.5050e-05    8.0793e-10    7.4948e+00    2.6353e-06    3.2340e-07    1.9042e-05    1.7157e-09    3.4035e+01    1.0847e-06    1.5123e-07    1.4025e-05    6.0219e-10    5.2073e+00    2.8950e-06    3.4693e-07    1.7866e-05    1.4323e-09    2.2585e+01    1.6934e-06    1.9026e-07    1.6276e-05    9.3475e-10    1.2177e+01    2.3747e-06    2.3028e-07    1.4856e-05    3.5496e-09    6.6724e+01    4.9934e-07    1.5959e-07    7.3209e-01    2.6791e-01    4.5919e-01    5.4081e-01    9.5549e-01    4.4511e-02    1.6341e-05    1.7422e-05    4.7673e-06    5.0825e-06    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.5798e+01    3.6353e+00    3.7708e+00    4.0912e-05    6.0815e-09    1.4220e+01    1.3459e-05    1.2831e-06    4.1059e-05    6.3344e-09    7.8682e+00    1.5241e-05    2.4152e-06    4.0492e-05    5.3672e-09    3.2154e+01    6.0621e-06    5.0076e-07    4.0131e-05    5.7481e-09    5.6624e+00    1.7049e-05    3.0454e-06    4.1615e-05    6.3876e-09    2.2076e+01    8.9762e-06    8.6802e-07    4.1357e-05    6.2689e-09    1.2352e+01    1.3714e-05    1.5225e-06    2.6747e-05    1.1837e-09    6.3018e+01    1.4692e-07    5.6351e-08    7.3849e-01    2.6151e-01    4.7868e-01    5.2132e-01    9.6315e-01    3.6850e-02    3.1509e-05    3.8701e-05    8.6674e-06    1.0646e-05    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.7456e+01    4.0299e+00    3.8359e+00    7.4836e-05    1.6757e-08    1.4714e+01    5.9196e-05    3.4167e-06    7.4752e-05    1.7208e-08    8.2102e+00    6.8025e-05    6.2877e-06    7.5093e-05    1.5365e-08    3.4819e+01    5.6173e-06    1.3238e-06    7.3459e-05    1.7365e-08    6.3457e+00    8.5165e-05    8.2096e-06    7.6042e-05    1.6215e-08    2.2179e+01    1.2627e-05    2.1932e-06    7.4642e-05    1.6838e-08    1.2268e+01    6.0563e-05    4.1175e-06    7.8861e-05    1.5036e-08    6.6991e+01    1.7133e-06    6.7334e-07    7.5558e-01    2.4442e-01    4.7150e-01    5.2850e-01    9.5531e-01    4.4692e-02    6.8302e-05    7.5499e-05    1.6949e-05    1.8735e-05    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.9002e+01    4.2499e+00    3.7065e+00    1.4427e-04    7.0349e-08    1.3738e+01    3.8378e-04    1.5362e-05    1.3639e-04    6.5874e-08    7.3832e+00    4.3339e-04    2.6766e-05    1.6974e-04    8.6538e-08    3.6730e+01    2.5001e-05    7.0682e-06    1.3081e-04    6.3220e-08    5.3066e+00    5.4818e-04    3.5739e-05    1.5587e-04    7.7053e-08    2.1668e+01    5.6479e-05    1.0668e-05    1.4229e-04    7.0724e-08    1.1234e+01    3.9123e-04    1.8886e-05    1.8786e-04    6.0778e-08    7.7582e+01    6.8473e-06    2.3502e-06    7.8344e-01    2.1656e-01    4.8466e-01    5.1534e-01    9.6225e-01    3.7748e-02    1.2296e-04    1.6777e-04    2.8933e-05    3.9476e-05    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.0509e+01    4.4013e+00    3.8605e+00    3.0695e-04    2.5096e-07    1.4904e+01    2.4987e-03    5.0511e-05    2.8506e-04    2.3046e-07    8.0515e+00    2.8140e-03    8.5865e-05    3.7746e-04    3.2727e-07    4.0426e+01    7.5788e-05    2.4286e-05    2.7767e-04    2.2401e-07    5.5283e+00    3.5951e-03    1.2155e-04    3.3186e-04    2.7601e-07    2.3622e+01    1.7718e-04    3.5053e-05    3.0279e-04    2.5509e-07    1.1927e+01    2.5516e-03    6.4162e-05    3.9170e-04    1.5442e-07    8.4410e+01    1.9828e-05    5.4880e-06    7.8832e-01    2.1168e-01    4.8180e-01    5.1820e-01    9.5892e-01    4.1084e-02    2.7045e-04    3.5202e-04    6.1447e-05    7.9981e-05    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.1924e+01    4.6402e+00    3.9535e+00    8.5327e-04    2.0300e-06    1.5634e+01    5.5480e-03    3.8938e-04    8.6942e-04    2.1989e-06    8.0081e+00    6.3169e-03    8.2309e-04    7.9747e-04    1.4707e-06    4.0882e+01    7.6038e-04    1.0791e-04    8.0049e-04    2.1674e-06    5.7603e+00    7.8884e-03    1.1275e-03    8.9676e-04    1.9101e-06    2.4244e+01    1.8327e-03    2.3630e-04    8.5741e-04    2.0858e-06    1.2287e+01    5.6558e-03    5.0901e-04    7.4002e-04    6.0675e-07    1.0095e+02    6.5506e-05    1.8030e-05    7.6802e-01    2.3198e-01    4.6581e-01    5.3419e-01    9.6225e-01    3.7750e-02    7.2819e-04    8.0678e-04    1.5693e-04    1.7387e-04    
